Shipment_ID,Order_Date,Dispatch_Date,Delivery_Date,Origin,Destination,Distance_km,Vehicle_Type,Shipment_Weight_kg,Carrier,Expected_Delivery_Hours,Actual_Delivery_Hours,Shipping_Cost,Delay_Hours,Delivery_Status
SHP1001,2026-01-01,2026-01-01,2026-01-02,Hyderabad Warehouse,Bengaluru,142,Mini Truck,266,RapidRoute,4.8,11.3,2403.26,6.5,Delayed
SHP1002,2026-01-03,2026-01-04,2026-01-05,Hyderabad Warehouse,Hyderabad,475,Container Truck,813,SafeMove Logistics,10.1,10.1,6646.76,0.0,On-Time
SHP1003,2026-01-05,2026-01-06,2026-01-07,Bengaluru Warehouse,Hyderabad,310,Truck,237,RapidRoute,7.6,13.3,3071.29,5.7,Delayed
SHP1004,2026-01-07,2026-01-09,2026-01-10,Bengaluru Warehouse,Hyderabad,146,Mini Truck,429,SwiftLogistics,5.6,7.8,2316.52,2.2,Delayed
SHP1005,2026-01-09,2026-01-10,2026-01-11,Chennai Warehouse,Kochi,111,Van,542,SwiftLogistics,5.2,5.2,1954.68,0.0,On-Time
SHP1006,2026-01-11,2026-01-11,2026-01-12,Coimbatore Warehouse,Hyderabad,740,Mini Truck,1114,RapidRoute,14.9,18.5,8478.48,3.6,Delayed
SHP1007,2026-01-13,2026-01-14,2026-01-15,Coimbatore Warehouse,Chennai,60,Mini Truck,1230,RapidRoute,4.9,16.2,3686.52,11.3,Delayed
SHP1008,2026-01-15,2026-01-17,2026-01-18,Hyderabad Warehouse,Kochi,654,Container Truck,64,SafeMove Logistics,13.1,13.5,6108.93,0.4,On-Time
SHP1009,2026-01-17,2026-01-19,2026-01-20,Hyderabad Warehouse,Chennai,161,Container Truck,114,BlueDart Transport,5.3,7.7,2748.63,2.4,Delayed
SHP1010,2026-01-19,2026-01-20,2026-01-21,Hyderabad Warehouse,Kochi,506,Truck,570,RapidRoute,12.1,13.1,4747.48,1.0,Delayed
SHP1011,2026-01-21,2026-01-23,2026-01-24,Bengaluru Warehouse,Trichy,254,Van,1417,SwiftLogistics,8.1,10.6,5132.82,2.5,Delayed
SHP1012,2026-01-23,2026-01-23,2026-01-24,Bengaluru Warehouse,Coimbatore,370,Container Truck,1202,SafeMove Logistics,8.9,13.1,6821.81,4.2,Delayed
SHP1013,2026-01-25,2026-01-25,2026-01-26,Hyderabad Warehouse,Madurai,498,Mini Truck,697,RapidRoute,10.2,17.2,5744.69,7.0,Delayed
SHP1014,2026-01-27,2026-01-28,2026-01-29,Hyderabad Warehouse,Hyderabad,127,Truck,1545,SwiftLogistics,6.3,6.3,4691.58,0.0,On-Time
SHP1015,2026-01-29,2026-01-30,2026-01-31,Hyderabad Warehouse,Trichy,412,Mini Truck,1136,SwiftLogistics,9.7,18.3,5798.32,8.6,Delayed
SHP1016,2026-01-31,2026-02-01,2026-02-02,Coimbatore Warehouse,Coimbatore,139,Mini Truck,1212,BlueDart Transport,6.4,6.4,4195.1,0.0,On-Time
SHP1017,2026-02-02,2026-02-04,2026-02-05,Bengaluru Warehouse,Madurai,703,Container Truck,1572,SafeMove Logistics,14.6,16.3,9592.45,1.7,Delayed
SHP1018,2026-02-04,2026-02-04,2026-02-05,Coimbatore Warehouse,Salem,170,Truck,642,SafeMove Logistics,5.9,9.9,2606.03,4.0,Delayed
SHP1019,2026-02-06,2026-02-06,2026-02-07,Coimbatore Warehouse,Bengaluru,701,Van,441,BlueDart Transport,13.0,16.0,6421.75,3.0,Delayed
SHP1020,2026-02-08,2026-02-10,2026-02-11,Hyderabad Warehouse,Chennai,348,Van,1748,BlueDart Transport,8.7,9.0,6727.18,0.3,On-Time
SHP1021,2026-02-10,2026-02-10,2026-02-11,Hyderabad Warehouse,Salem,809,Container Truck,468,SafeMove Logistics,14.7,16.3,8388.27,1.6,Delayed
SHP1022,2026-02-12,2026-02-13,2026-02-14,Chennai Warehouse,Kochi,383,Container Truck,338,SafeMove Logistics,9.2,9.9,4407.1,0.7,Delayed
SHP1023,2026-02-14,2026-02-15,2026-02-16,Chennai Warehouse,Madurai,531,Truck,428,RapidRoute,11.0,11.4,5141.27,0.4,On-Time
SHP1024,2026-02-16,2026-02-17,2026-02-18,Coimbatore Warehouse,Salem,453,Van,1563,RapidRoute,10.2,14.9,6975.07,4.7,Delayed
SHP1025,2026-02-18,2026-02-18,2026-02-19,Bengaluru Warehouse,Bengaluru,845,Van,280,BlueDart Transport,15.4,18.7,6846.69,3.3,Delayed
SHP1026,2026-02-20,2026-02-21,2026-02-22,Hyderabad Warehouse,Trichy,425,Van,1067,RapidRoute,10.2,10.3,5872.62,0.1,On-Time
SHP1027,2026-02-22,2026-02-24,2026-02-25,Hyderabad Warehouse,Madurai,231,Mini Truck,90,SwiftLogistics,5.9,10.8,2489.04,4.9,Delayed
SHP1028,2026-02-24,2026-02-26,2026-02-27,Coimbatore Warehouse,Salem,316,Van,1101,RapidRoute,8.5,11.6,4964.63,3.1,Delayed
SHP1029,2026-02-26,2026-02-26,2026-02-27,Chennai Warehouse,Chennai,200,Mini Truck,184,RapidRoute,6.0,10.6,2790.17,4.6,Delayed
SHP1030,2026-02-28,2026-03-02,2026-03-03,Bengaluru Warehouse,Chennai,499,Truck,250,SwiftLogistics,9.8,13.9,4487.96,4.1,Delayed
